,cost,kernel,Accuracy,Kappa,F1
37,5.0,poly,0.7574059927001104,0.4484130697135843,0.6264966611993533
38,5.0,rbf,0.7492678889737714,0.41834366802130096,0.5956585852058861
39,5.0,sigmoid,0.6564065019947373,0.23016764085755675,0.4887559575438568
40,5.5,linear,0.7736928104575163,0.47410359280377645,0.6345400353288341
41,5.5,poly,0.7541486291486292,0.4398293738287673,0.6196523053665911
42,5.5,rbf,0.7476445123503948,0.41562418180866645,0.5946412719148494
43,5.5,sigmoid,0.6564065019947373,0.23016764085755675,0.4887559575438568
44,6.0,linear,0.7736928104575163,0.47410359280377645,0.6345400353288341
45,6.0,poly,0.7541486291486292,0.43871328730162273,0.6179052753176743
46,6.0,rbf,0.7443765384941856,0.40737223499692843,0.5888814051573319
47,6.0,sigmoid,0.6547725150666327,0.22614346576204553,0.4857048515179224
48,6.5,linear,0.7736928104575163,0.47410359280377645,0.6345400353288341
49,6.5,poly,0.7557932263814617,0.4433359446760461,0.6220766427631623
50,6.5,rbf,0.7443765384941856,0.4061818406036345,0.5869764704693783
51,6.5,sigmoid,0.6547725150666327,0.22614346576204553,0.4857048515179224
52,7.0,linear,0.7736928104575163,0.47410359280377645,0.6345400353288341
53,7.0,poly,0.7541698497580851,0.43916712501749067,0.6187972177856241
54,7.0,rbf,0.7476445123503948,0.4114525388053034,0.5886939426347019
55,7.0,sigmoid,0.6531491384432561,0.22497694959489348,0.48664024674677087
56,7.5,linear,0.7736928104575163,0.47410359280377645,0.6345400353288341
57,7.5,poly,0.754180460062813,0.44033317430848906,0.6208445101159354
58,7.5,rbf,0.7460211357270181,0.4084975263652443,0.5873303062710655
59,7.5,sigmoid,0.6531491384432561,0.22497694959489348,0.48664024674677087
60,8.0,linear,0.7720694338341396,0.4709954469893539,0.632986938842715
61,8.0,poly,0.754180460062813,0.44033317430848906,0.6208445101159354
62,8.0,rbf,0.7476551226551227,0.41277329881603064,0.5910817060471013
63,8.0,sigmoid,0.6499023851965029,0.21779679293693002,0.48192326561469545
64,8.5,linear,0.7720694338341396,0.4709954469893539,0.632986938842715
65,8.5,poly,0.7574484339190222,0.44995824218053226,0.6286403995560489
66,8.5,rbf,0.7476551226551227,0.41277329881603064,0.5910817060471013
67,8.5,sigmoid,0.6515257618198795,0.22212916314407571,0.4854499804797986
68,9.0,linear,0.7720694338341396,0.4709954469893539,0.632986938842715
69,9.0,poly,0.7574590442237501,0.4491699364321755,0.6274168912848158
70,9.0,rbf,0.7476551226551227,0.41277329881603064,0.5910817060471013
71,9.0,sigmoid,0.6515257618198795,0.22212916314407571,0.4854499804797986
72,9.5,linear,0.7720694338341396,0.4709954469893539,0.632986938842715
73,9.5,poly,0.7574590442237501,0.4491699364321755,0.6274168912848158
74,9.5,rbf,0.7443977591036415,0.4064879644462076,0.5877672242824692
75,9.5,sigmoid,0.6515257618198795,0.22212916314407571,0.4854499804797986
76,10.0,linear,0.770446057210763,0.46791193641256223,0.6314639995699184
77,10.0,poly,0.754191070367541,0.44394658238873386,0.6257031305371434
78,10.0,rbf,0.7427743824802648,0.4034574770652718,0.5863202489277268
79,10.0,sigmoid,0.6515257618198795,0.22212916314407571,0.4854499804797986
